"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"621","DUMBLEDORE","HARRY","Have there been other dreams like this?  ","have there been other dreams like this?  ","have there been other dreams like this?  ","    dreams like ?  ","    dreams like   ","    dreams like   "," dreams like ","dream like"
"622","HARRY","DUMBLEDORE","Yes. Always the same one. SIRIUS... these dreams, what I see, you don't think it's actually happening do you?","yes. always the same one. sirius... these dreams, what i see, you don't think it's actually happening do you?","yes. always the same one. sirius... these dreams, what i see, you don't think it's actually happening do you?","yes. always   one. sirius...  dreams,   see,   think  actually happening  ?","yes always   one sirius  dreams   see   think  actually happening  ","yes always   one sirius  dreams   see   think  actually happening  ","yes always one sirius dreams see think actually happening ","yes always one sirius dream see think actually happen"
"623","DUMBLEDORE","HARRY","I think it's unwise for you to linger over these dreams Harry, I think it's best that you simply...","i think it's unwise for you to linger over these dreams harry, i think it's best that you simply...","i think it's unwise for you to linger over these dreams harry, i think it's best that you simply..."," think  unwise    linger   dreams harry,  think  best   simply..."," think  unwise    linger   dreams harry  think  best   simply"," think  unwise    linger   dreams harry  think  best   simply"," think unwise linger dreams harry think best simply","think unwise linger dream harry think good simply"
"624","DUMBLEDORE","HARRY","Cast them away.  ","cast them away.  ","cast them away.  ","cast  away.  ","cast  away  ","cast  away  ","cast away ","cast away"
"625","IGOR","SEVERUS","It's a sign Severus, you know what it means as well as I. ","it's a sign severus, you know what it means as well as i. ","it's a sign severus, you know what it means as well as i. ","  sign severus,  know   means  well  . ","  sign severus  know   means  well   ","  sign severus  know   means  well   "," sign severus know means well ","sign severus know mean good"
"626","SEVERUS","HARRY","Potter! What's your hurry? Congratulations, your performance in the black lake was inspiring. Gilliweed, am I correct?","potter! what's your hurry? congratulations, your performance in the black lake was inspiring. gilliweed, am i correct?","potter! what's your hurry? congratulations, your performance in the black lake was inspiring. gilliweed, am i correct?","potter!   hurry? congratulations,  performance   black lake  inspiring. gilliweed,   correct?","potter   hurry congratulations  performance   black lake  inspiring gilliweed   correct","potter   hurry congratulations  performance   black lake  inspiring gilliweed   correct","potter hurry congratulations performance black lake inspiring gilliweed correct","potter hurry congratulation performance black lake inspire gilliweed correct"
"627","HARRY","SEVERUS","Yes SIRIUS.  ","yes sirius.  ","yes sirius.  ","yes sirius.  ","yes sirius  ","yes sirius  ","yes sirius ","yes sirius"
"628","SEVERUS","HARRY","Ingenious. A rather rare herb gilliweed, not something found in your every day garden. Nor is this, know what it is?","ingenious. a rather rare herb gilliweed, not something found in your every day garden. nor is this, know what it is?","ingenious. a rather rare herb gilliweed, not something found in your every day garden. nor is this, know what it is?","ingenious.  rather rare herb gilliweed,  something found   every day garden.   , know   ?","ingenious  rather rare herb gilliweed  something found   every day garden    know   ","ingenious  rather rare herb gilliweed  something found   every day garden    know   ","ingenious rather rare herb gilliweed something found every day garden know ","ingenious rather rare herb gilliweed something find every day garden know"
"629","HARRY","SEVERUS","Bubble juice SIRIUS?  ","bubble juice sirius?  ","bubble juice sirius?  ","bubble juice sirius?  ","bubble juice sirius  ","bubble juice sirius  ","bubble juice sirius ","bubble juice sirius"
"630","SEVERUS","HARRY","Veritaserum. Three drops of this and you-know-who himself will spill his darkest secrets. The use of this on a student is regrettably forbidden, however should you ever steal from my personal stores again, my hand might just slip over your morning pumpkin juice.  ","veritaserum. three drops of this and you-know-who himself will spill his darkest secrets. the use of this on a student is regrettably forbidden, however should you ever steal from my personal stores again, my hand might just slip over your morning pumpkin juice.  ","veritaserum. three drops of this and you-know-who himself will spill his darkest secrets. the use of this on a student is regrettably forbidden, however should you ever steal from my personal stores again, my hand might just slip over your morning pumpkin juice.  ","veritaserum. three drops    -know-  will spill  darkest secrets.  use     student  regrettably forbidden, however   ever steal   personal stores ,  hand might just slip   morning pumpkin juice.  ","veritaserum three drops    know  will spill  darkest secrets  use     student  regrettably forbidden however   ever steal   personal stores   hand might just slip   morning pumpkin juice  ","veritaserum three drops    know  will spill  darkest secrets  use     student  regrettably forbidden however   ever steal   personal stores   hand might just slip   morning pumpkin juice  ","veritaserum three drops know will spill darkest secrets use student regrettably forbidden however ever steal personal stores hand might just slip morning pumpkin juice ","veritaserum three drop know will spill dark secret use student regrettably forbid however ever steal personal store hand may just slip morning pumpkin juice"
"631","HARRY","SEVERUS","I haven't stolen anything.  ","i haven't stolen anything.  ","i haven't stolen anything.  ","  stolen anything.  ","  stolen anything  ","  stolen anything  "," stolen anything ","steal anything"
"632","SEVERUS","HARRY","Don't lie to me. Gilliweed might be innocuous, but boomslang skin? lacewing flies? You and your friends are brewing polyjuice potion and believe me I'm going to find out why.  ","don't lie to me. gilliweed might be innocuous, but boomslang skin? lacewing flies? you and your friends are brewing polyjuice potion and believe me i'm going to find out why.  ","don't lie to me. gilliweed might be innocuous, but boomslang skin? lacewing flies? you and your friends are brewing polyjuice potion and believe me i'm going to find out why.  "," lie  . gilliweed might  innocuous,  boomslang skin? lacewing flies?    friends  brewing polyjuice potion  believe   going  find  .  "," lie   gilliweed might  innocuous  boomslang skin lacewing flies    friends  brewing polyjuice potion  believe   going  find    "," lie   gilliweed might  innocuous  boomslang skin lacewing flies    friends  brewing polyjuice potion  believe   going  find    "," lie gilliweed might innocuous boomslang skin lacewing flies friends brewing polyjuice potion believe going find ","lie gilliweed may innocuous boomslang skin lacewing fly friend brew polyjuice potion believe go find"
"633","DUMBLEDORE","CHAMPIONS","Earlier today Professor Moody placed the tri-wizards cup deep within the maze. Only he knows its exact position. Now as Mr Diggory...  ","earlier today professor moody placed the tri-wizards cup deep within the maze. only he knows its exact position. now as mr diggory...  ","earlier today professor moody placed the tri-wizards cup deep within the maze. only he knows its exact position. now as mr diggory...  ","earlier today professor moody placed  tr-wizards cup deep within  maze.   knows  exact position. now  mr diggory...  ","earlier today professor moody placed  trwizards cup deep within  maze   knows  exact position now  mr diggory  ","earlier today professor moody placed  trwizards cup deep within  maze   knows  exact position now  mr diggory  ","earlier today professor moody placed trwizards cup deep within maze knows exact position now mr diggory ","early today professor moody place trwizards cup deep within maze know exact position now mr diggory"
"634","DUMBLEDORE","","(continued) and Mr Potter tied for first position they will be the first to enter the maze. Followed by Mr Krum...","(continued) and mr potter tied for first position they will be the first to enter the maze. followed by mr krum...","(continued) and mr potter tied for first position they will be the first to enter the maze. followed by mr krum...","(continued)  mr potter tied  first position  will   first  enter  maze. followed  mr krum...","continued  mr potter tied  first position  will   first  enter  maze followed  mr krum","continued  mr potter tied  first position  will   first  enter  maze followed  mr krum","continued mr potter tied first position will first enter maze followed mr krum","continue mr potter tie first position will first enter maze follow mr krum"
"635","DUMBLEDORE","","(continued) The first person to touch the cup will be the winner. I've instructed the staff to patrol the perimeter, if at any point should a contestant wish to withdraw from the task he or she need only send up red sparks with their wands. Contestants, gather round.  ","(continued) the first person to touch the cup will be the winner. i've instructed the staff to patrol the perimeter, if at any point should a contestant wish to withdraw from the task he or she need only send up red sparks with their wands. contestants, gather round.  ","(continued) the first person to touch the cup will be the winner. i've instructed the staff to patrol the perimeter, if at any point should a contestant wish to withdraw from the task he or she need only send up red sparks with their wands. contestants, gather round.  ","(continued)  first person  touch  cup will   winner.  instructed  staff  patrol  perimeter,    point   contestant wish  withdraw   task    need  send  red sparks   wands. contestants, gather round.  ","continued  first person  touch  cup will   winner  instructed  staff  patrol  perimeter    point   contestant wish  withdraw   task    need  send  red sparks   wands contestants gather round  ","continued  first person  touch  cup will   winner  instructed  staff  patrol  perimeter    point   contestant wish  withdraw   task    need  send  red sparks   wands contestants gather round  ","continued first person touch cup will winner instructed staff patrol perimeter point contestant wish withdraw task need send red sparks wands contestants gather round ","continue first person touch cup will winner instruct staff patrol perimeter point contestant wish withdraw task need send red spark wand contestant gather round"
"636","DUMBLEDORE","","(To the contestants) In the maze you'll find not dragons or creatures of the deep. Instead you'll face something more challenging. You see, people change in the maze. Oh find the cup if you can, but be very weary you could just lose yourselves along the way.  ","(to the contestants) in the maze you'll find not dragons or creatures of the deep. instead you'll face something more challenging. you see, people change in the maze. oh find the cup if you can, but be very weary you could just lose yourselves along the way.  ","(to the contestants) in the maze you'll find not dragons or creatures of the deep. instead you'll face something more challenging. you see, people change in the maze. oh find the cup if you can, but be very weary you could just lose yourselves along the way.  ","(  contestants)   maze  find  dragons  creatures   deep. instead  face something  challenging.  see, people change   maze. oh find  cup   can,    weary   just lose  along  way.  ","  contestants   maze  find  dragons  creatures   deep instead  face something  challenging  see people change   maze oh find  cup   can    weary   just lose  along  way  ","  contestants   maze  find  dragons  creatures   deep instead  face something  challenging  see people change   maze oh find  cup   can    weary   just lose  along  way  "," contestants maze find dragons creatures deep instead face something challenging see people change maze oh find cup can weary just lose along way ","contestant maze find dragon creature deep instead face something challenge see people change maze oh find cup can weary just lose along way"
"637","ALASTOR ","","Champions! Prepare yourselves.  ","champions! prepare yourselves.  ","champions! prepare yourselves.  ","champions! prepare .  ","champions prepare   ","champions prepare   ","champions prepare ","champion prepare"
"638","DUMBLEDORE","CHAMPIONS","On the count of three... ONE...  ","on the count of three... one...  ","on the count of three... one...  ","  count  three... one...  ","  count  three one  ","  count  three one  "," count three one ","count three one"
"639","HARRY","FLEUR","Fleur? Fleur!  ","fleur? fleur!  ","fleur? fleur!  ","fleur? fleur!  ","fleur fleur  ","fleur fleur  ","fleur fleur ","fleur fleur"
"640","CEDRIC","HARRY","Get down!  ","get down!  ","get down!  ","get !  ","get   ","get   ","get ","get"
"641","HARRY","CEDRIC","No stop! He's bewitched Cedric.  ","no stop! he's bewitched cedric.  ","no stop! he's bewitched cedric.  "," stop!  bewitched cedric.  "," stop  bewitched cedric  "," stop  bewitched cedric  "," stop bewitched cedric ","stop bewitch cedric"
"642","CEDRIC","HARRY","Get off me!  ","get off me!  ","get off me!  ","get  !  ","get    ","get    ","get ","get"
"643","HARRY","CEDRIC","He's bewitched!  ","he's bewitched!  ","he's bewitched!  "," bewitched!  "," bewitched  "," bewitched  "," bewitched ","bewitch"
"644","CEDRIC","HARRY","Harry! Harry!  ","harry! harry!  ","harry! harry!  ","harry! harry!  ","harry harry  ","harry harry  ","harry harry ","harry harry"
"645","CEDRIC","HARRY","You know for a moment there I thought you were gonna let it get me. ","you know for a moment there i thought you were gonna let it get me. ","you know for a moment there i thought you were gonna let it get me. "," know   moment   thought   gonna let  get . "," know   moment   thought   gonna let  get  "," know   moment   thought   gonna let  get  "," know moment thought gonna let get ","know moment think gonna let get"
"646","HARRY","CEDRIC","For a moment so did I.  ","for a moment so did i.  ","for a moment so did i.  ","  moment   .  ","  moment     ","  moment     "," moment ","moment"
"647","CEDRIC","HARRY","Some game huh?  ","some game huh?  ","some game huh?  "," game huh?  "," game huh  "," game huh  "," game huh ","game huh"
"648","HARRY","CEDRIC","Some game.  ","some game.  ","some game.  "," game.  "," game  "," game  "," game ","game"
"649","CEDRIC","HARRY","Go. Take it, you saved me!  ","go. take it, you saved me!  ","go. take it, you saved me!  ","go. take ,  saved !  ","go take   saved   ","go take   saved   ","go take saved ","go take save"
"650","HARRY","CEDRIC","Together, on three. One, two, three!  ","together, on three. one, two, three!  ","together, on three. one, two, three!  ","together,  three. one, two, three!  ","together  three one two three  ","together  three one two three  ","together three one two three ","together three one two three"
"651","CEDRIC","HARRY","You ok?  ","you ok?  ","you ok?  "," ok?  "," ok  "," ok  "," ok ","okay"
"652","HARRY","CEDRIC","Yeah, you?  ","yeah, you?  ","yeah, you?  ","yeah, ?  ","yeah   ","yeah   ","yeah ","yes"
"653","CEDRIC","HARRY","Where are we?  ","where are we?  ","where are we?  ","  ?  ","    ","    "," ",""
"654","HARRY","CEDRIC","I've been here before.  ","i've been here before.  ","i've been here before.  ","   .  ","     ","     "," ",""
"655","CEDRIC","HARRY","It's a portkey. Harry the cup is a portkey.  ","it's a portkey. harry the cup is a portkey.  ","it's a portkey. harry the cup is a portkey.  ","  portkey. harry  cup   portkey.  ","  portkey harry  cup   portkey  ","  portkey harry  cup   portkey  "," portkey harry cup portkey ","portkey harry cup portkey"
"656","HARRY","CEDRIC","I've been here before in a dream. Cedric, we have to get back to the cup? Now! ","i've been here before in a dream. cedric, we have to get back to the cup? now! ","i've been here before in a dream. cedric, we have to get back to the cup? now! ","      dream. cedric,    get back   cup? now! ","      dream cedric    get back   cup now ","      dream cedric    get back   cup now "," dream cedric get back cup now ","dream cedric get back cup now"
"657","CEDRIC","HARRY","What are you talking about?  ","what are you talking about?  ","what are you talking about?  ","   talking ?  ","   talking   ","   talking   "," talking ","talk"
"658","CEDRIC","CEDRIC","What is it?  ","what is it?  ","what is it?  ","  ?  ","    ","    "," ",""
"659","HARRY","CEDRIC","Get back to the cup! We see Wormtail and Voldemort nearby. ","get back to the cup! we see wormtail and voldemort nearby. ","get back to the cup! we see wormtail and voldemort nearby. ","get back   cup!  see wormtail  voldemort nearby. ","get back   cup  see wormtail  voldemort nearby ","get back   cup  see wormtail  voldemort nearby ","get back cup see wormtail voldemort nearby ","get back cup see wormtail voldemort nearby"
"660","CEDRIC","VOLDEMORT","Who are you? What do you want?  ","who are you? what do you want?  ","who are you? what do you want?  ","  ?    want?  ","      want  ","      want  "," want ","want"
"661","VOLDEMORT","WORMTAIL","Kill the spare.  ","kill the spare.  ","kill the spare.  ","kill  spare.  ","kill  spare  ","kill  spare  ","kill spare ","kill spare"
"662","HARRY","CEDRIC","Cedric!  ","cedric!  ","cedric!  ","cedric!  ","cedric  ","cedric  ","cedric ","cedric"
"663","VOLDEMORT","WORMTAIL","Do it, now!  ","do it, now!  ","do it, now!  "," , now!  ","  now  ","  now  "," now ","now"
"664","WORMTAIL","WORMTAIL","Bones of the father, unwillingly given.  ","bones of the father, unwillingly given.  ","bones of the father, unwillingly given.  ","bones   father, unwillingly given.  ","bones   father unwillingly given  ","bones   father unwillingly given  ","bones father unwillingly given ","bone father unwillingly give"
"665","WORMTAIL","WORMTAIL","Flesh of the servent willingly sacrificed.  ","flesh of the servent willingly sacrificed.  ","flesh of the servent willingly sacrificed.  ","flesh   servent willingly sacrificed.  ","flesh   servent willingly sacrificed  ","flesh   servent willingly sacrificed  ","flesh servent willingly sacrificed ","flesh servent willingly sacrifice"
"666","WORMTAIL","WORMTAIL","Blood of the enemy forcibly taken.  ","blood of the enemy forcibly taken.  ","blood of the enemy forcibly taken.  ","blood   enemy forcibly taken.  ","blood   enemy forcibly taken  ","blood   enemy forcibly taken  ","blood enemy forcibly taken ","blood enemy forcibly take"
"667","WORMTAIL","WORMTAIL","The dark lord shall rise again.  ","the dark lord shall rise again.  ","the dark lord shall rise again.  "," dark lord shall rise .  "," dark lord shall rise   "," dark lord shall rise   "," dark lord shall rise ","dark lord shall rise"
"668","VOLDEMORT","WORMTAIL","My wand Wormtail.  ","my wand wormtail.  ","my wand wormtail.  "," wand wormtail.  "," wand wormtail  "," wand wormtail  "," wand wormtail ","wand wormtail"
"669","VOLDEMORT","WORMTAIL","Hold out your arm.  ","hold out your arm.  ","hold out your arm.  ","hold   arm.  ","hold   arm  ","hold   arm  ","hold arm ","hold arm"
"670","WORMTAIL","VOLDEMORT","Master. Thank you master.  ","master. thank you master.  ","master. thank you master.  ","master. thank  master.  ","master thank  master  ","master thank  master  ","master thank master ","master thank master"
"671","VOLDEMORT","WORMTAIL","The other arm Wormtail.  ","the other arm wormtail.  ","the other arm wormtail.  ","  arm wormtail.  ","  arm wormtail  ","  arm wormtail  "," arm wormtail ","arm wormtail"
"672","VOLDEMORT","UNKNOWN MAN","Welcome my friends. Thirty years it's been, and yet you stand before me as though it were only yesterday. I confess myself disappointed, not one of you tried to find me.  ","welcome my friends. thirty years it's been, and yet you stand before me as though it were only yesterday. i confess myself disappointed, not one of you tried to find me.  ","welcome my friends. thirty years it's been, and yet you stand before me as though it were only yesterday. i confess myself disappointed, not one of you tried to find me.  ","welcome  friends. thirty years  ,  yet  stand    though    yesterday.  confess  disappointed,  one   tried  find .  ","welcome  friends thirty years    yet  stand    though    yesterday  confess  disappointed  one   tried  find   ","welcome  friends thirty years    yet  stand    though    yesterday  confess  disappointed  one   tried  find   ","welcome friends thirty years yet stand though yesterday confess disappointed one tried find ","welcome friend thirty year yet stand though yesterday confess disappoint one try find"
"673","VOLDEMORT","LUCIUS","Not even you, Lucius.  ","not even you, lucius.  ","not even you, lucius.  "," even , lucius.  "," even  lucius  "," even  lucius  "," even lucius ","even lucius"
"674","LUCIUS","VOLDEMORT","My lord. Had I detected any sign or even a whisper of your whereabouts. ","my lord. had i detected any sign or even a whisper of your whereabouts. ","my lord. had i detected any sign or even a whisper of your whereabouts. "," lord.   detected  sign  even  whisper   whereabouts. "," lord   detected  sign  even  whisper   whereabouts "," lord   detected  sign  even  whisper   whereabouts "," lord detected sign even whisper whereabouts ","lord detect sign even whisper whereabouts"
"675","VOLDEMORT","LUCIUS","There were signs my friend, and more than whispers. ","there were signs my friend, and more than whispers. ","there were signs my friend, and more than whispers. ","  signs  friend,    whispers. ","  signs  friend    whispers ","  signs  friend    whispers "," signs friend whispers ","sign friend whisper"
"676","LUCIUS","VOLDEMORT","I assure you I never renounced the old ways. The face I have been obliged to present each day since your absence, that was my true mask.  ","i assure you i never renounced the old ways. the face i have been obliged to present each day since your absence, that was my true mask.  ","i assure you i never renounced the old ways. the face i have been obliged to present each day since your absence, that was my true mask.  "," assure   never renounced  old ways.  face    obliged  present  day since  absence,    true mask.  "," assure   never renounced  old ways  face    obliged  present  day since  absence    true mask  "," assure   never renounced  old ways  face    obliged  present  day since  absence    true mask  "," assure never renounced old ways face obliged present day since absence true mask ","assure never renounce old way face oblige present day since absence true mask"
"677","WORMTAIL","VOLDEMORT","I returned.  ","i returned.  ","i returned.  "," returned.  "," returned  "," returned  "," returned ","return"
"678","VOLDEMORT","WORMTAIL","Out of fear, not loyalty. Still you have proved yourself useful these past few months Wormtail.","out of fear, not loyalty. still you have proved yourself useful these past few months wormtail.","out of fear, not loyalty. still you have proved yourself useful these past few months wormtail.","  fear,  loyalty. still   proved  useful  past  months wormtail.","  fear  loyalty still   proved  useful  past  months wormtail","  fear  loyalty still   proved  useful  past  months wormtail"," fear loyalty still proved useful past months wormtail","fear loyalty still prove useful past month wormtail"
"679","WORMTAIL","VOLDEMORT","Thank you master, thank you.  ","thank you master, thank you.  ","thank you master, thank you.  ","thank  master, thank .  ","thank  master thank   ","thank  master thank   ","thank master thank ","thank master thank"
"680","VOLDEMORT","CEDRIC","(To Cedric's corpse) Oh, such a handsome boy. ","(to cedric's corpse) oh, such a handsome boy. ","(to cedric's corpse) oh, such a handsome boy. ","( cedric's corpse) oh,   handsome boy. "," cedrics corpse oh   handsome boy "," cedrics corpse oh   handsome boy "," cedrics corpse oh handsome boy ","cedrics corpse oh handsome boy"
"681","HARRY","VOLDEMORT","Don't touch him.  ","don't touch him.  ","don't touch him.  "," touch .  "," touch   "," touch   "," touch ","touch"
"682","VOLDEMORT","HARRY","Harry! I'd almost forgotten you were here. Standing on the bones of my father. I'd introduce you but word has it you're almost as famous as me these days. The boy who lived. How lies have fed your legend Harry. Shall I reveal what really happened that night thirteen years ago? Shall I divulge how I truly lost my powers? It was love. You see when dear sweet Lily Potter gave her life for her only son she provided the ultimate protection. I could not touch you. It was old magic, something I should have forseen. But no matter, no matter. Things have changed, I can touch you now!  ","harry! i'd almost forgotten you were here. standing on the bones of my father. i'd introduce you but word has it you're almost as famous as me these days. the boy who lived. how lies have fed your legend harry. shall i reveal what really happened that night thirteen years ago? shall i divulge how i truly lost my powers? it was love. you see when dear sweet lily potter gave her life for her only son she provided the ultimate protection. i could not touch you. it was old magic, something i should have forseen. but no matter, no matter. things have changed, i can touch you now!  ","harry! i'd almost forgotten you were here. standing on the bones of my father. i'd introduce you but word has it you're almost as famous as me these days. the boy who lived. how lies have fed your legend harry. shall i reveal what really happened that night thirteen years ago? shall i divulge how i truly lost my powers? it was love. you see when dear sweet lily potter gave her life for her only son she provided the ultimate protection. i could not touch you. it was old magic, something i should have forseen. but no matter, no matter. things have changed, i can touch you now!  ","harry!  almost forgotten   . standing   bones   father.  introduce   word    almost  famous    days.  boy  lived.  lies  fed  legend harry. shall  reveal  really happened  night thirteen years ago? shall  divulge   truly lost  powers?   love.  see  dear sweet lily potter gave  life    son  provided  ultimate protection.    touch .   old magic, something    forseen.   matter,  matter. things  changed,  can touch  now!  ","harry  almost forgotten    standing   bones   father  introduce   word    almost  famous    days  boy  lived  lies  fed  legend harry shall  reveal  really happened  night thirteen years ago shall  divulge   truly lost  powers   love  see  dear sweet lily potter gave  life    son  provided  ultimate protection    touch    old magic something    forseen   matter  matter things  changed  can touch  now  ","harry  almost forgotten    standing   bones   father  introduce   word    almost  famous    days  boy  lived  lies  fed  legend harry shall  reveal  really happened  night thirteen years ago shall  divulge   truly lost  powers   love  see  dear sweet lily potter gave  life    son  provided  ultimate protection    touch    old magic something    forseen   matter  matter things  changed  can touch  now  ","harry almost forgotten standing bones father introduce word almost famous days boy lived lies fed legend harry shall reveal really happened night thirteen years ago shall divulge truly lost powers love see dear sweet lily potter gave life son provided ultimate protection touch old magic something forseen matter matter things changed can touch now ","harry almost forget stand bone father introduce word almost famous day boy live lie feed legend harry shall reveal really happen night thirteen year ago shall divulge truly lose power love see dear sweet lily potter give life son provide ultimate protection touch old magic something forseen matter matter thing change can touch now"
"683","VOLDEMORT","HARRY","Astonishing what a few drops of your blood will do eh Harry? Pick up your wand Potter. I said pick it up, get up. Get up! You've been taught how to duel I presume yes? First we bow to each other. Come on now Harry the niceties must be observed, Dumbledore would not want you to forget your manners now would he? I said bow!  ","astonishing what a few drops of your blood will do eh harry? pick up your wand potter. i said pick it up, get up. get up! you've been taught how to duel i presume yes? first we bow to each other. come on now harry the niceties must be observed, dumbledore would not want you to forget your manners now would he? i said bow!  ","astonishing what a few drops of your blood will do eh harry? pick up your wand potter. i said pick it up, get up. get up! you've been taught how to duel i presume yes? first we bow to each other. come on now harry the niceties must be observed, dumbledore would not want you to forget your manners now would he? i said bow!  ","astonishing    drops   blood will  eh harry? pick   wand potter.  said pick  , get . get !   taught   duel  presume yes? first  bow   . come  now harry  niceties must  observed, dumbledore   want   forget  manners now  ?  said bow!  ","astonishing    drops   blood will  eh harry pick   wand potter  said pick   get  get    taught   duel  presume yes first  bow    come  now harry  niceties must  observed dumbledore   want   forget  manners now    said bow  ","astonishing    drops   blood will  eh harry pick   wand potter  said pick   get  get    taught   duel  presume yes first  bow    come  now harry  niceties must  observed dumbledore   want   forget  manners now    said bow  ","astonishing drops blood will eh harry pick wand potter said pick get get taught duel presume yes first bow come now harry niceties must observed dumbledore want forget manners now said bow ","astonish drop blood will eh harry pick wand potter say pick get get teach duel presume yes first bow come now harry nicety must observe dumbledore want forget manner now say bow"
"684","VOLDEMORT","HARRY","That's better. And now...  ","that's better. and now...  ","that's better. and now...  "," better.  now...  "," better  now  "," better  now  "," better now ","good now"
"685","VOLDEMORT","HARRY","Atta boy Harry, your parents would be proud. Especially your filthy mongrel mother. I'm going to kill you Harry Potter, I'm going to destroy you. After tonight no one will ever again question my powers. After tonight if they speak of you they'll speak only of how you begged for death, and I being a merciful lord obliged. Get up.  ","atta boy harry, your parents would be proud. especially your filthy mongrel mother. i'm going to kill you harry potter, i'm going to destroy you. after tonight no one will ever again question my powers. after tonight if they speak of you they'll speak only of how you begged for death, and i being a merciful lord obliged. get up.  ","atta boy harry, your parents would be proud. especially your filthy mongrel mother. i'm going to kill you harry potter, i'm going to destroy you. after tonight no one will ever again question my powers. after tonight if they speak of you they'll speak only of how you begged for death, and i being a merciful lord obliged. get up.  ","atta boy harry,  parents   proud. especially  filthy mongrel mother.  going  kill  harry potter,  going  destroy .  tonight  one will ever  question  powers.  tonight   speak    speak     begged  death,     merciful lord obliged. get .  ","atta boy harry  parents   proud especially  filthy mongrel mother  going  kill  harry potter  going  destroy   tonight  one will ever  question  powers  tonight   speak    speak     begged  death     merciful lord obliged get   ","atta boy harry  parents   proud especially  filthy mongrel mother  going  kill  harry potter  going  destroy   tonight  one will ever  question  powers  tonight   speak    speak     begged  death     merciful lord obliged get   ","atta boy harry parents proud especially filthy mongrel mother going kill harry potter going destroy tonight one will ever question powers tonight speak speak begged death merciful lord obliged get ","atta boy harry parent proud especially filthy mongrel mother go kill harry potter go destroy tonight one will ever question power tonight speak speak beg death merciful lord oblige get"
"686","VOLDEMORT","HARRY","Don't you turn your back on me Harry Potter I want you to look at me when I kill you, I want to see the lights leave your eyes.  ","don't you turn your back on me harry potter i want you to look at me when i kill you, i want to see the lights leave your eyes.  ","don't you turn your back on me harry potter i want you to look at me when i kill you, i want to see the lights leave your eyes.  ","  turn  back   harry potter  want   look     kill ,  want  see  lights leave  eyes.  ","  turn  back   harry potter  want   look     kill   want  see  lights leave  eyes  ","  turn  back   harry potter  want   look     kill   want  see  lights leave  eyes  "," turn back harry potter want look kill want see lights leave eyes ","turn back harry potter want look kill want see light leave eye"
"687","HARRY","VOLDEMORT","Have it your way.  ","have it your way.  ","have it your way.  ","   way.  ","   way  ","   way  "," way ","way"
"688","VOLDEMORT","HARRY","Do nothing. He is mine to finish. He's mine! ","do nothing. he is mine to finish. he's mine! ","do nothing. he is mine to finish. he's mine! "," nothing.   mine  finish.  mine! "," nothing   mine  finish  mine "," nothing   mine  finish  mine "," nothing mine finish mine ","nothing mine finish mine"
"689","HARRY'S DAD","HARRY","(voice) Harry when the connection is broken you must get to the portkey. We can delay it for a moment to give you time but only a moment, do you understand?  ","(voice) harry when the connection is broken you must get to the portkey. we can delay it for a moment to give you time but only a moment, do you understand?  ","(voice) harry when the connection is broken you must get to the portkey. we can delay it for a moment to give you time but only a moment, do you understand?  ","(voice) harry   connection  broken  must get   portkey.  can delay    moment  give  time    moment,   understand?  ","voice harry   connection  broken  must get   portkey  can delay    moment  give  time    moment   understand  ","voice harry   connection  broken  must get   portkey  can delay    moment  give  time    moment   understand  ","voice harry connection broken must get portkey can delay moment give time moment understand ","voice harry connection break must get portkey can delay moment give time moment understand"
"690","CEDRIC","HARRY","(voice) Harry take my body back will you? Take my body back to my father. ","(voice) harry take my body back will you? take my body back to my father. ","(voice) harry take my body back will you? take my body back to my father. ","(voice) harry take  body back will ? take  body back   father. ","voice harry take  body back will  take  body back   father ","voice harry take  body back will  take  body back   father ","voice harry take body back will take body back father ","voice harry take body back will take body back father"
"691","HARRY'S MOTHER","HARRY","(voice) Let go. Sweetheart you're ready. Let go! Let go! ","(voice) let go. sweetheart you're ready. let go! let go! ","(voice) let go. sweetheart you're ready. let go! let go! ","(voice) let go. sweetheart  ready. let go! let go! ","voice let go sweetheart  ready let go let go ","voice let go sweetheart  ready let go let go ","voice let go sweetheart ready let go let go ","voice let go sweetheart ready let go let go"
"692","VOLDEMORT","HARRY","No!  ","no!  ","no!  ","!  ","  ","  "," ",""
"693","DUMBLEDORE","HARRY","Harry! Harry!  ","harry! harry!  ","harry! harry!  ","harry! harry!  ","harry harry  ","harry harry  ","harry harry ","harry harry"
"694","DUMBLEDORE","HARRY","Tell me what happened!  ","tell me what happened!  ","tell me what happened!  ","tell   happened!  ","tell   happened  ","tell   happened  ","tell happened ","tell happen"
"695","HARRY","DUMBLEDORE","He's back, he's back! Voldemort's back. Cedric, he asked me to bring his body back. I couldn't leave him, not there.","he's back, he's back! voldemort's back. cedric, he asked me to bring his body back. i couldn't leave him, not there.","he's back, he's back! voldemort's back. cedric, he asked me to bring his body back. i couldn't leave him, not there."," back,  back! voldemort's back. cedric,  asked   bring  body back.   leave ,  ."," back  back voldemorts back cedric  asked   bring  body back   leave   "," back  back voldemorts back cedric  asked   bring  body back   leave   "," back back voldemorts back cedric asked bring body back leave ","back back voldemorts back cedric ask bring body back leave"
